CarOwnerId,LicensePlate,Make,Model,Year,Mileage,Availability
11234,LUV2RDE,Honda,Focus,2010,50000 miles,Not Available
11234,VROOOM,Mercedes-Benz,A4,2016,75000 miles,Available
11234,ZOOMIN,Chevrolet,Focus,2009,100000 miles,Not Available
11234,GR8DAYZ,Ford,Golf,2020,15000 miles,Available
11234,BSTRD8,Honda,C-Class,2018,20000 miles,Not Available
12345,QIK4FUN,Volkswagen,Cruze,2015,130000 miles,Not Available
12345,EZ4ME2,Honda,C-Class,2012,40000 miles,Available
12345,SUNSKY,Volkswagen,Golf,2023,195000 miles,Not Available
12345,FST4EVR,Mercedes-Benz,Elantra,2006,90000 miles,Not Available
12345,DREAMON,Volkswagen,C-Class,2003,30000 miles,Available
13456,CYA4NOW,Toyota,Focus,2004,80000 miles,Not Available
13456,H1GHWAY,Chevrolet,Cruze,2013,65000 miles,Not Available
13456,CHILLX,Mercedes-Benz,A4,2012,40000 miles,Available
13456,MZLUVIT,Volkswagen,Golf,2016,110000 miles,Available
13456,WNDRLST,Nissan,Cruze,2012,70000 miles,Not Available
14567,GR8DAYZ,Chevrolet,A4,2000,110000 miles,Not Available
14567,FST4EVR,Toyota,Civic,2006,70000 miles,Not Available
14567,PLS2BME,Hyundai,Elantra,2016,95000 miles,Available
14567,EZ4ME2,Ford,Focus,2003,60000 miles,Available
14567,ZOOMIN,Nissan,Focus,2023,145000 miles,Available
